date,sales
7/6/2017,32
7/6/2017,36
7/6/2017,552
7/6/2017,1020
7/6/2017,960
7/6/2017,336
7/6/2017,2592
7/6/2017,348
7/6/2017,204
7/6/2017,24
7/6/2017,24
7/6/2017,24
7/6/2017,24
7/6/2017,24
7/6/2017,24
7/6/2017,384
7/6/2017,324
7/6/2017,96
7/10/2017,60
7/10/2017,80
7/10/2017,120
7/10/2017,688
7/10/2017,516
7/10/2017,2916
7/10/2017,2052
7/10/2017,1080
7/10/2017,252
7/10/2017,120
7/10/2017,24
7/10/2017,24
7/10/2017,72
7/10/2017,48
7/10/2017,72
7/10/2017,120
7/10/2017,120
7/10/2017,408
7/10/2017,72
7/10/2017,24
7/10/2017,12
7/10/2017,120
7/10/2017,48
7/10/2017,3960
7/10/2017,96
7/10/2017,432
7/11/2017,240
7/11/2017,64
7/11/2017,96
7/11/2017,1440
7/11/2017,540
7/11/2017,96
7/11/2017,216
7/11/2017,24
7/11/2017,24
7/11/2017,120
7/11/2017,48
7/11/2017,12
7/11/2017,480
7/11/2017,24
7/11/2017,432
7/12/2017,960
7/12/2017,780
7/12/2017,240
7/12/2017,420
7/12/2017,1128
7/12/2017,360
7/12/2017,48
7/12/2017,4728
7/12/2017,504
7/12/2017,72
7/12/2017,96
7/12/2017,48
7/12/2017,96
7/12/2017,120
7/12/2017,72
7/12/2017,120
7/12/2017,48
7/12/2017,72
7/12/2017,72
7/12/2017,48
7/12/2017,24
7/12/2017,97
7/12/2017,12
7/12/2017,120
7/12/2017,84
7/12/2017,264
7/13/2017,240
7/13/2017,24
7/13/2017,60
7/13/2017,48
7/13/2017,24
7/13/2017,1476
7/13/2017,312
7/13/2017,5052
7/13/2017,444
7/13/2017,1920
7/13/2017,276
7/13/2017,156
7/13/2017,24
7/13/2017,48
7/13/2017,120
7/13/2017,48
7/13/2017,24
7/13/2017,13
7/13/2017,12
7/13/2017,240
7/13/2017,240
7/14/2017,660
7/14/2017,840
7/14/2017,336
7/14/2017,1176
7/14/2017,288
7/14/2017,288
7/14/2017,72
7/14/2017,12
7/14/2017,12
7/14/2017,168
7/14/2017,96
7/14/2017,24
7/14/2017,24
7/14/2017,96
7/14/2017,2139
7/14/2017,12
7/14/2017,24
7/14/2017,120
7/14/2017,120
7/17/2017,60
7/17/2017,160
7/17/2017,60
7/17/2017,48
7/17/2017,48
7/17/2017,18
7/17/2017,36
7/17/2017,1152
7/17/2017,612
7/17/2017,624
7/17/2017,312
7/17/2017,24
7/17/2017,72
7/17/2017,24
7/17/2017,48
7/17/2017,48
7/17/2017,72
7/17/2017,144
7/17/2017,312
7/17/2017,264
7/17/2017,36
7/17/2017,192
7/17/2017,48
7/17/2017,48
7/17/2017,96
7/17/2017,36
7/17/2017,432
7/18/2017,120
7/18/2017,12
7/18/2017,12
7/18/2017,288
7/18/2017,2088
7/18/2017,528
7/18/2017,408
7/18/2017,48
7/18/2017,96
7/18/2017,216
7/18/2017,12
7/18/2017,24
7/18/2017,96
7/18/2017,24
7/18/2017,24
7/18/2017,144
7/18/2017,492
7/18/2017,36
7/18/2017,288
7/19/2017,1080
7/19/2017,480
7/19/2017,384
7/19/2017,396
7/19/2017,864
7/19/2017,684
7/19/2017,648
7/19/2017,168
7/19/2017,984
7/19/2017,24
7/19/2017,12
7/19/2017,12
7/19/2017,96
7/19/2017,36
7/19/2017,48
7/19/2017,24
7/19/2017,72
7/19/2017,96
7/19/2017,96
7/19/2017,48
7/19/2017,264
7/19/2017,60
7/19/2017,180
7/19/2017,120
7/19/2017,144
7/19/2017,48
7/19/2017,12
7/19/2017,48
7/19/2017,24
7/19/2017,96
7/19/2017,264
7/19/2017,408
7/20/2017,240
7/20/2017,64
7/20/2017,72
7/20/2017,96
7/20/2017,912
